acc	median_cov	mean_cov	stdev	tid
61DFRAAXX100204:1:100:10494:3070/1	2	2.19231	0.79307	thread:0
61DFRAAXX100204:1:100:10497:13422/1	3	2.59615	0.773574	thread:0
61DFRAAXX100204:1:100:10546:4478/1	1	1	0	thread:0
61DFRAAXX100204:1:100:10609:6818/1	1	1.28846	0.457467	thread:0
61DFRAAXX100204:1:100:10648:5988/1	1	1.28846	0.457467	thread:0
61DFRAAXX100204:1:100:11486:13583/1	1	1.34615	0.480385	thread:0
61DFRAAXX100204:1:100:1176:14271/1	1	1	0	thread:0
61DFRAAXX100204:1:100:12152:16425/1	1	1	0	thread:0
61DFRAAXX100204:1:100:14680:13081/1	1	1.36538	0.486236	thread:0
61DFRAAXX100204:1:100:16086:14019/1	1	1	0	thread:0
61DFRAAXX100204:1:100:17458:1622/1	1	1.05769	0.235435	thread:0
61DFRAAXX100204:1:100:17716:21197/1	1	1	0	thread:0
61DFRAAXX100204:1:100:19734:13092/1	2	2.23077	0.674911	thread:0
61DFRAAXX100204:1:100:2082:1789/1	1	1	0	thread:0
61DFRAAXX100204:1:100:2172:8797/1	3	2.38462	0.932083	thread:0
61DFRAAXX100204:1:100:2238:12815/1	1	1.36538	0.486236	thread:0
61DFRAAXX100204:1:100:2327:5980/1	1	1	0	thread:0
61DFRAAXX100204:1:100:3665:17139/1	3	2.57692	0.80064	thread:0
61DFRAAXX100204:1:100:6480:5393/1	2	2.36538	0.486236	thread:0
61DFRAAXX100204:1:100:8693:14085/1	1	1	0	thread:0
61DFRAAXX100204:1:100:9306:14527/1	1	1	0	thread:0
61DFRAAXX100204:1:100:9656:2687/1	1	1	0	thread:0
61DFRAAXX100204:1:101:11219:19264/1	1	1	0	thread:0
61DFRAAXX100204:1:101:11349:8542/1	3	2.63462	0.714797	thread:0
61DFRAAXX100204:1:101:11674:10443/1	1	1.38462	0.491251	thread:0
61DFRAAXX100204:1:101:1179:19106/1	1	1	0	thread:0
61DFRAAXX100204:1:101:12110:12654/1	1	1.28846	0.457467	thread:0
61DFRAAXX100204:1:101:13165:4417/1	1	1	0	thread:0
61DFRAAXX100204:1:101:13420:13159/1	2	1.84615	0.364321	thread:0
61DFRAAXX100204:1:101:14810:10441/1	2	2.25	0.737643	thread:0
61DFRAAXX100204:1:101:15025:8342/1	1	1	0	thread:0
61DFRAAXX100204:1:101:15551:15592/1	2	1.57692	0.498868	thread:0
61DFRAAXX100204:1:101:16061:6897/1	2	1.63462	0.486236	thread:0
61DFRAAXX100204:1:101:16516:11581/1	1	1	0	thread:0
61DFRAAXX100204:1:101:17825:1193/1	1	1.38462	0.491251	thread:0
61DFRAAXX100204:1:101:2920:3823/1	1	1.28846	0.457467	thread:0
61DFRAAXX100204:1:101:4549:18278/1	2	1.84615	0.364321	thread:0
61DFRAAXX100204:1:101:5059:19347/1	1	1	0	thread:0
61DFRAAXX100204:1:101:5741:4886/1	1	1	0	thread:0
61DFRAAXX100204:1:101:6207:10801/1	3	2.55769	0.725271	thread:0
61DFRAAXX100204:1:101:6228:11229/1	1	1.05769	0.235435	thread:0
61DFRAAXX100204:1:101:7284:17741/1	2	1.57692	0.498867	thread:0
61DFRAAXX100204:1:101:7317:19738/1	1	1	0	thread:0
61DFRAAXX100204:1:101:7386:20759/1	1	1.90385	0.975375	thread:0
61DFRAAXX100204:1:101:7661:3279/1	1	1.86538	0.929449	thread:0
61DFRAAXX100204:1:101:7989:14539/1	1	1	0	thread:0
61DFRAAXX100204:1:101:8630:9416/1	1	1	0	thread:0
61DFRAAXX100204:1:101:9622:17436/1	3	2.55769	0.725271	thread:0
61DFRAAXX100204:1:102:10071:12692/1	1	1.28846	0.457467	thread:0
61DFRAAXX100204:1:102:10556:11503/1	1	1	0	thread:0
